,id,ref,label,elevation,latitude,longitude,type,class,area,street,postCode,labelCommune,startDate,stopDate
46,GAPCOM,83233,GAP COMMANDERIE,743.0,44.555194444444375,6.073005555555449,0,Urbaine,De fond,"Rue du pré de foire
",05000,GAP,2009-11-06T00:00:00Z,2030-12-31T00:00:00Z
47,GARDAN,83130,GARDANNE            ,203.0,43.45358611111068,5.466666666666284,0,Industrielle,Industriel,Avenue Mistral dans le jardin de la Maison du Droit ,13120,GARDANNE,1985-11-05T00:00:00Z,2030-12-31T00:00:00Z
48,GENOUD,83160,La Seyne sur mer 2,12.0,43.10159238667502,5.8753842510131244,0,Urbaine,De fond,Avenue Aimé Genoud,,LA SEYNE-SUR- MER,2009-08-01T00:00:00Z,2030-12-31T00:00:00Z
49,HYERES,83169,HYERES,33.0,43.119738888888755,6.131308333333181,0,Urbaine,De fond,16 Avenue de la Belgique,83400,HYERES,2004-05-27T00:00:00Z,2023-01-15T15:00:00Z
50,ISTR,83012,Istres              ,20.0,43.50944444444442,4.982897222221801,0,Urbaine,De fond,Rue des Felibres   Stade Nautique Parking,13800,ISTRES,1976-09-01T00:00:00Z,2030-12-31T00:00:00Z
51,MANOSQ,83218,MANOSQUE,385.0,43.83578611111055,5.786122222221718,0,Urbaine,De fond,Impasse des drailles,04100,MANOSQUE,2001-07-13T00:00:00Z,2030-12-31T00:00:00Z
52,MEDE,83029,Chateauneuf La Mede,10.0,43.39954722222183,5.113213888888624,0,Industrielle,Industriel,Stade Municipal Avenue St Medard,13168,CHATEAUNEUF les MARTIGUES,2000-04-01T00:00:00Z,2030-12-31T00:00:00Z
53,MGTS,83007,Martigues La Gatasse,124.0,43.36069166666662,5.058138888888388,0,Industrielle,Industriel,Col de La Gatasse,13500,MARTIGUES,1976-10-01T00:00:00Z,2030-12-31T00:00:00Z
54,MLVR,83028,Martigues Lavera,51.0,43.386499999999444,5.027472222222005,0,,,Ecole  Avenue Raymond Simi,13500,MARTIGUES,2006-02-27T10:29:57Z,2030-12-31T00:00:00Z
55,MNDM,83004,Martigues Notre Dame,107.0,43.4166666666664,5.0427305555551385,0,Urbaine,De fond,Route de la Vierge,13500,MARTIGUES,1976-10-01T00:00:00Z,2030-12-31T00:00:00Z
56,MOULIN,83207,ANTIBES JEAN MOULIN,81.0,43.59877499999996,7.0931444444438965,0,Périurbaine,De fond,1010 CHEMIN DES COMBES,,ANTIBES,1997-11-06T00:00:00Z,2030-12-31T00:00:00Z
